product_name,raw_category,ondc_domain,district
Ultra Impact Phenyl Floor Cleaner 1L Bottle* Kills 99.9% of germs* Leaves your floor clean and fresh* Available in a variety of scents,Floor cleners,RET10,Kadapa
Konda's Turmeric Powder,Kitchen,RET16,Kadapa
"Henna Cones - Natural Henna for Temporary Tattoos, Body Art, and Hair Dye",Fashion,RET12,Kadapa
V.M.S.S Dhanush Premium Incense Sticks,Pooja,RET16,Kadapa
Ultra Impact Floor Cleaner - Jasmine Fragrance Acid Liquid,Floor cleners,RET10,Kadapa
Satya Sai Baba Nag Champa Pineapple Premium Incense Dhoop Sticks,Pooja,RET16,Kadapa
Original Kimiya Dates,Food,RET10,Kadapa
Zoya Dish Washer Liquid,Floor cleners,RET10,Kadapa
 Zoya Extra Clean Toilet Cleaner - 500ml,Floor cleners,RET10,Kadapa
"Zoya Floor Cleaner 10X Protection, 1L",Floor cleners,RET10,Kadapa
Lily Flower Incense Dhoop Sticks,Pooja,RET16,Kadapa
Ultra Impact Floor Cleaner Jasmine Fresh,Floor cleners,RET10,Kadapa
SRINIVASA Cotton Towel with Checks - White and Brown,hand looms,RET12,Kadapa
Amruthaa Small Nuvvula Undalu,Food,RET10,Kadapa
Green and Gold Beads Necklace,Jewellary,RET12,Kadapa
MR Sweets Palli Chikki,Food,RET10,Kadapa
Amruthaa Chikki Undalu,Food,RET10,Kadapa
Amruthaa White Nuvvula Undalu,Food,RET10,Kadapa
Ultra Impact Dish Washer Gel - 500m,Kitchen,RET16,Kadapa
Ultra Impact Magic Liquid No Smoke Acid for Ceramic Tiles,Floor cleners,RET10,Kadapa
Bhuvanesh Home Made Rice Vadeyalu,Food,RET10,Kadapa
Gold Plated Short Black Beads with White Stone Pendant,Jewellary,RET12,Kadapa
Bhuvanesh Swagruha Homemades Nalla Karampodi,Kitchen,RET16,Kadapa
Bhuvanesh Swagruha Homemades Nalla Karampodi,Kitchen,RET16,Kadapa
Ultra Impact Detergent Liquid 1L,Floor cleners,RET10,Kadapa
Reusable Telugu Language Canvas Bag,Home Décor,RET16,Kadapa
Konda's Rasam Powder,Kitchen,RET16,Kadapa
Gold Plated Short Black Beads,Pooja,RET16,Kadapa
Bhuvanesh Swagruha Home Foods Nuvvulapodi (100g),Food,RET10,Kadapa
Amruthaa Home Foods Bellam Kajji Kayalu,Food,RET10,Kadapa
White Pearl with Green Stone Pendant,Jewellary,RET12,Kadapa
Nuvvula Laddu,Food,RET10,Kadapa
Green Beads mala with stone work pendant,Jewellary,RET12,Kadapa
Bhuvanesh Swagriha Homemades Idli Podi 100g,food,RET10,Kadapa
Ragi Biscuits 250 Gms,Food,RET10,Kadapa
"Zoya Top Load Liquid, 1L",Floor cleners,RET10,Kadapa
Kalankari Carry Bag Small,Home Décor,RET16,Kadapa
Black Nuvvula Laddu (Sesame Balls)  250 Gms,Food,RET10,Kadapa
"""SRILAKSHMI JASMINDA Premium Grade Agarbattis""",Pooja,RET16,Kadapa
One gram gold plated gold beeds mala,Jewellary,RET12,Kadapa
Soft and Absorbent Cotton Towel,hand looms,RET12,Kadapa
Bhuvanesh Swagruha Home Foods Pulihora Pulusu 250g,Food,RET10,Kadapa
Bhuvanesh Swagraha Homemades Majjiga Mirapakaya 100g,Food,RET10,Kadapa
Bhuvanesh Swagruha Homemades Chitlampodi 100g,food,RET10,Kadapa
Karivepaku Sev 250 Grm,Food,RET10,Kadapa
Swan black beads,Jewellary,RET12,Kadapa
"Green Taper Candles - Set of 12 - 8"" Tall - Unscented",Pooja,RET16,Kadapa
